Customer_ID,Company_Name,Location,Business_Size,Industry_Type,Bounce_Rate,Time_Spent,Annual_Revenue,Website_Visits
3fc88d4c,"Donaldson, Norris and Martin",Dublin,Large,Health,51.26,4.55,834769,10791
fe20275a,"Bryant, Ellis and Edwards",Paris,Medium,Fashion,71.82,4.05,209208,8732
da9336a3,Castro-Lopez,Amsterdam,Medium,Fashion,30.04,4.87,212731,13969
ef208088,Jones Inc,Paris,Small,Fashion,54.86,10.67,140230,6078
51f83506,"Lopez, Parker and Harris",Rome,Small,Electronics,29.46,2.28,131087,12089
d6fb6f35,Alvarez-Garcia,Dublin,Small,Home Decor,58.67,10.82,64076,5123
e7ef60b1,Lang and Sons,Lisbon,Small,Home Decor,78.9,12.04,149181,12380
56fdc244,"Velez, Chapman and Robertson",Lisbon,Large,Electronics,21.28,6.29,879794,5414
369b66f9,Schultz-Hawkins,Madrid,Small,Groceries,62.4,8.83,121137,17059
38a6c099,"Reid, Woodward and Willis",Paris,Large,Electronics,52.62,5.53,745574,10021
9f4131a1,Larson-Newman,Berlin,Small,Health,29.3,5.14,84517,18747
e2cd0cb0,Freeman Ltd,Rome,Medium,Fashion,66.56,8.08,247274,1613
3d4cd942,Williams PLC,Rome,Large,Electronics,39.24,1.89,782569,13697
6d122a16,Fleming Ltd,Paris,Large,Groceries,65.94,3.16,648442,11570
7e51e76d,Sullivan-Montoya,Amsterdam,Large,Home Decor,26.63,8.32,534960,2434
0fc99c51,Jacobson-Hall,Berlin,Small,Fashion,32.12,7.8,62943,2042
d5b42ff2,Allen LLC,Amsterdam,Large,Groceries,51.55,10.82,634186,2608
d3d63c9c,"Edwards, Nguyen and Jones",Rome,Small,Health,63.07,1.18,77359,17102
dc196415,Rush Inc,London,Medium,Fashion,41.66,11.41,368080,13093
bd8b5518,Sherman-Johnson,Dublin,Large,Home Decor,51.74,11.28,937496,10958
00beae2e,Davis Inc,London,Small,Health,25.83,11.15,119685,13626
a1ccf73c,Wilcox-Larson,Paris,Small,Health,59.41,8.98,73448,19298
c3fa80f4,"Murray, Chandler and Cain",Amsterdam,Large,Fashion,65.98,9.07,853629,16031
ed9f3951,Williams Inc,Amsterdam,Small,Electronics,67.55,8.7,116151,12059
b0152e6d,Snyder LLC,Berlin,Large,Health,46.58,5.93,665232,19025
2fc966ee,Brown Inc,Rome,Medium,Groceries,65.85,7.03,319582,8887
0b9c5146,Freeman-Salazar,Paris,Medium,Health,75.57,4.56,387190,15663
da142924,Newton Ltd,Amsterdam,Small,Fashion,78.98,9.34,117844,5426
69998a76,Webb and Sons,Madrid,Small,Home Decor,79.06,4.01,91275,1711
25f4f018,Lawrence Ltd,Madrid,Large,Health,53.38,13.96,581116,4089
8f095b07,Pham Ltd,Dublin,Medium,Home Decor,29.37,4.71,455218,9187
300828de,Davis Inc,Paris,Medium,Home Decor,25.51,6.6,264000,3529
0c40fb86,Green PLC,Rome,Medium,Electronics,49.3,13.59,452112,4124
21988ba2,"Russell, Reed and Jones",Madrid,Small,Health,42.89,11.92,93829,12400
b69f960d,Gutierrez-Sanders,Amsterdam,Medium,Fashion,72.19,4.17,492245,1374
9c039cd5,Smith-Padilla,Amsterdam,Small,Home Decor,51.46,5.47,124044,5901
fe6238b6,Jones PLC,Rome,Large,Electronics,29.19,10.43,705984,15601
830473df,Smith LLC,London,Small,Groceries,37.39,6.52,67326,12015
29bfe320,"Harmon, Gilbert and Bishop",London,Medium,Health,64.72,8.67,287656,3787
ddfda476,Anderson and Sons,Amsterdam,Large,Groceries,66.43,2.83,570712,16758
0205a211,Berry-Mitchell,Paris,Medium,Groceries,59.13,3.75,472960,18178
66e8fed5,Acosta-Wright,Paris,Small,Fashion,35.98,7.02,139749,19874
3b8e3e27,Fisher-Drake,London,Small,Groceries,45.41,5.88,92039,12289
32441f5a,"Hall, Becker and Tran",Dublin,Medium,Electronics,79.26,9.63,381846,5778
6c1ee887,Grant LLC,Lisbon,Small,Electronics,31.98,6.23,149317,3811
4a252a76,"Hardy, Spencer and Smith",London,Large,Fashion,34.58,9.69,577426,10426
202dbdc2,Brown-Flores,Dublin,Medium,Fashion,38.31,7.6,323999,7848
deec24dc,"Schneider, Leblanc and Jacobson",Paris,Small,Health,51.4,4.62,113311,5631
c4c6f295,"Martin, Chavez and Robinson",Dublin,Medium,Health,74.36,8.38,283933,6581
2b4ca1b0,Johnson LLC,Dublin,Medium,Electronics,67.35,9.65,177832,16235
a18144e6,"Sullivan, Brown and Solis",Dublin,Small,Groceries,59.62,10.28,136520,12803
c0ef8420,"Ferguson, Baker and Mcclure",London,Small,Home Decor,72.04,10.09,80299,13474
dba88dad,Holder Ltd,London,Medium,Groceries,72.01,8.44,247737,7516
75ee5db1,Macias Ltd,Lisbon,Large,Fashion,22.39,13.91,659870,11930
3314ed94,"Hunter, Lowery and Brooks",Lisbon,Medium,Electronics,21.1,10.58,336321,10906
522592bf,"Gordon, Martinez and Thomas",Paris,Large,Home Decor,68.71,9.76,960680,13686
488cab76,"Baker, Sandoval and Ross",Dublin,Large,Home Decor,33.53,5.79,705965,5497
b58ffc25,Horton and Sons,London,Large,Groceries,51.24,10.49,957547,8452
193555d4,"Gordon, Haynes and Jacobs",Amsterdam,Small,Health,29.16,14.59,129346,11790
1440dc46,Evans-Meadows,Lisbon,Large,Electronics,32.41,2.94,783826,7629
70492c2b,"Wallace, Hale and Cole",Berlin,Medium,Health,74.57,7.02,226102,19508
50e5e514,Webb LLC,Berlin,Medium,Fashion,53.44,14.28,212070,7033
5dea32b4,Thompson-Mullins,Rome,Small,Fashion,65.93,13.32,104269,14475
89bf9492,"Briggs, Jones and Avery",Madrid,Medium,Home Decor,29.12,3.63,218968,7053
23684d60,Wall and Sons,Dublin,Large,Health,36.01,8.94,621065,8608
2a4793f2,Stephens-Powell,Paris,Large,Fashion,41.56,10.63,749877,5393
b118ccac,Miller Ltd,Lisbon,Large,Home Decor,31.04,6.42,748433,5506
ad94f1e9,Larsen-Foster,Berlin,Small,Electronics,21.93,11.7,51967,9842
250d6522,"Vazquez, Fisher and Woodard",Amsterdam,Small,Electronics,65.47,1.93,107577,17054
8fc0da71,Galvan-Roberts,Rome,Medium,Electronics,45.65,11.87,468731,13464
860fe3d8,Gonzales-Tyler,Rome,Medium,Health,76.35,9.01,431102,18210
bca20aff,Gutierrez-Ali,Dublin,Large,Fashion,47.1,12.58,522239,9051
c43f88f8,"Gibson, Miller and Dawson",Amsterdam,Large,Fashion,53.46,8.23,830642,2615
b5698835,Thomas LLC,Paris,Medium,Groceries,43.88,5.26,299902,16117
ceeb4c78,Odom Group,Berlin,Medium,Home Decor,56.79,1.76,421041,5660
a0e7dfca,Lee LLC,Lisbon,Large,Groceries,25.43,8.01,594252,18904
f2006d63,Walker Group,Berlin,Medium,Groceries,39.41,1.35,387860,7616
765d9000,"Castillo, Charles and Lopez",Lisbon,Small,Home Decor,39.44,10.08,143253,6373
923dc252,"Olson, Thompson and Harding",London,Small,Fashion,62.37,9.88,61181,18164
9819fb80,Cortez PLC,Amsterdam,Large,Health,56.72,3.24,788540,13471
7c3f7333,Rodriguez-Hall,Dublin,Small,Home Decor,53.93,10.23,69672,6312
4ca2de23,Clark-Burns,Berlin,Small,Fashion,45.17,5.33,108491,10462
3c72b8bb,Bartlett-Ferguson,Berlin,Small,Electronics,77.63,1.05,83175,1400
0db9751a,Rangel LLC,Lisbon,Medium,Groceries,52.61,1.08,408719,8794
d7a5f79f,"Chase, Johnson and Fry",Paris,Large,Groceries,47.22,7.19,815211,1215
6376aca4,Trevino-Walters,Paris,Large,Home Decor,57.19,8.81,932670,7803
d78d025a,"Hall, Parker and Thomas",Dublin,Small,Electronics,23.3,5.89,69054,2062
a6689d26,Potter-Harper,Madrid,Medium,Fashion,22.94,6.84,243454,6286
3264b649,Richardson Group,Madrid,Large,Health,54.34,8.87,738729,19971
573a9f69,Pratt and Sons,Rome,Small,Fashion,66.11,5.52,99668,3217
15064933,Bryant-Guerrero,Amsterdam,Large,Fashion,37.57,2.88,864181,9992
fd5e198f,"Fitzgerald, Carter and Randall",Rome,Large,Groceries,51.48,10.74,820893,2906
ba50f81c,Adams LLC,London,Large,Health,79.23,7.77,861054,10410
bb29b475,Brown Group,Amsterdam,Large,Home Decor,35.58,9.05,826760,12595
df137075,Armstrong Ltd,Berlin,Large,Health,49.78,11.21,760960,17138
6178c4c9,Harvey-Roman,Berlin,Large,Electronics,62.52,14.71,500829,4873
32204e6e,"Davis, Young and Ayers",Dublin,Medium,Fashion,64.25,3.9,472599,14586
7ec6357a,"Meyer, Fowler and Johnson",Amsterdam,Small,Home Decor,40.98,12.28,77831,1370
d82b0a58,Ross Inc,Paris,Large,Home Decor,35.27,1.95,657436,17603
074537f1,Wilson and Sons,Rome,Small,Fashion,61.15,5.78,144948,19642
7d37b4b7,Walter LLC,Dublin,Small,Electronics,39.83,5.73,138142,16699
9df334ba,Mills LLC,Lisbon,Small,Electronics,48.89,9.78,120381,11980
3737b545,Holland-Santana,Lisbon,Medium,Fashion,70.11,5.19,315415,19192
ef68ccec,Wade-Reeves,Dublin,Small,Health,61.13,12.19,96346,3169
bb170ff2,Smith-Henderson,Berlin,Medium,Fashion,40.35,6.25,430114,6438
87df6e20,Bowers-Johns,Amsterdam,Small,Health,27.01,11.95,90407,11305
4e9b9ff4,Parker-Hodges,Dublin,Medium,Groceries,25.21,13.28,344817,15808
ee795369,Mercer-Munoz,Madrid,Small,Health,38.14,2.57,54901,7622
f9683ee9,Duncan-Fisher,London,Medium,Health,21.5,7.76,412173,6048
d5888074,Cain-Lee,Paris,Medium,Groceries,63.95,8.33,321620,5695
9b78aa47,James Ltd,London,Large,Electronics,32.31,1.51,703208,18116
7002e21a,Bell PLC,London,Small,Home Decor,75.94,10.62,127894,3853
3feb338c,"Michael, Ortega and Gomez",Rome,Medium,Fashion,26.19,11.73,313830,1736
4917c218,Rodriguez-Gibbs,Madrid,Large,Electronics,39.25,3.7,645045,18441
7ed4ef06,"Thompson, Jenkins and Lee",Rome,Medium,Fashion,36.36,3.2,210011,1499
631ec9e5,Taylor-Gutierrez,London,Small,Health,41.02,5.46,68554,10282
7085590d,Stone-Reese,Paris,Small,Fashion,38.68,13.49,120854,15537
3cdb6e75,"Fuentes, Forbes and Lee",Dublin,Small,Fashion,48.24,10.46,63884,13569
9efc9d81,Maldonado Inc,Dublin,Small,Groceries,43.52,10.87,127693,15609
923ea668,George and Sons,Rome,Medium,Home Decor,69.05,10.98,429700,3573
052b888c,"Nelson, Bowen and Walker",Lisbon,Large,Electronics,25.57,12.23,866268,16344
05696365,Moore Group,London,Medium,Home Decor,61.07,10.94,394002,16418
50913d61,"Friedman, Shah and Smith",Paris,Small,Electronics,71.67,9.64,97638,13847
74708f33,Medina-Ewing,Berlin,Large,Home Decor,67.33,13.35,737651,16974
3f851d7a,Young and Sons,Dublin,Small,Groceries,26.77,7.7,72387,10249
72b28a5c,Brown-Case,Rome,Large,Health,27.64,2.44,928634,4505
b354bfb7,Richards-Murphy,Rome,Large,Fashion,67.55,8.46,710144,14547
061a68f9,"Frazier, Clay and Campbell",Paris,Large,Electronics,52.88,14.63,701231,3164
16864fa5,Wang-Christensen,Rome,Small,Health,45.87,14.72,124345,12213
8e4ab791,Davis Inc,Paris,Small,Fashion,64.36,10.97,113783,4746
75c24251,Davis Ltd,Lisbon,Medium,Health,25.86,7.23,311500,14297
4922e703,Curtis-Schneider,London,Large,Fashion,61.13,9.35,929846,13416
23d3bdaf,"Dennis, Larsen and Flores",Rome,Medium,Fashion,25.43,12.44,454490,1006
a9104805,"Johnson, Ortega and Sutton",Berlin,Large,Electronics,47.18,5.08,822738,19937
5b1baeb3,Hall Inc,Lisbon,Small,Electronics,60.89,5.43,124747,10979
474c77cf,"Johnson, Campbell and Wiggins",Amsterdam,Large,Home Decor,79.42,9.16,820598,17725
2968e172,Weaver-Brown,Amsterdam,Small,Home Decor,23.74,13.62,56963,1027
61b5d8a1,Scott-Mitchell,Rome,Small,Home Decor,71.94,4.29,142041,13919
16f05735,Owens Group,Rome,Large,Groceries,44.36,7.09,610739,6682
f09829df,Shaffer-Howard,Lisbon,Small,Electronics,53.33,12.81,97223,14671
e78e13f4,Smith-Ferguson,Berlin,Medium,Electronics,28.06,2.0,158236,5718
3f11749b,Edwards LLC,Lisbon,Large,Groceries,78.5,2.9,571943,14626
594eb53a,"Parker, Singh and Gonzalez",Lisbon,Large,Health,75.82,9.73,738234,17692
d411a39a,Jackson-Barrera,Amsterdam,Large,Groceries,43.08,4.16,722703,1243
68c3cb6a,Huffman Inc,Lisbon,Large,Electronics,62.73,4.77,985787,18896
55004111,Murray-Bender,Rome,Small,Fashion,54.09,10.87,64832,16778
ad525407,Hill-Medina,London,Small,Health,79.01,14.77,86624,16235
36a8c3d4,Ward PLC,London,Large,Health,25.31,7.61,888858,3558
322c625a,"Gonzalez, Black and Boyd",Madrid,Large,Fashion,74.22,8.49,505654,16363
40391df3,Dunn PLC,Lisbon,Large,Groceries,54.44,5.64,685029,10654
505be108,Skinner PLC,Madrid,Small,Fashion,61.7,9.37,89855,19471
5b8054cc,"Miller, Reed and Fischer",Madrid,Small,Groceries,54.69,9.02,136025,10560
2c756c28,Giles-Goodwin,Dublin,Medium,Groceries,24.95,8.08,295673,9259
def67195,White-Wells,Berlin,Large,Home Decor,36.51,4.6,888723,4655
bbfe5268,Rios LLC,Berlin,Large,Electronics,59.55,6.18,591960,9560
5129f26a,"Knight, Smith and Henry",Paris,Medium,Electronics,67.96,13.07,329752,3765
7752f6a0,"Brown, Rogers and Smith",Berlin,Large,Electronics,70.26,11.54,716504,13555
7829e5eb,"Parker, Cole and Williams",Paris,Large,Groceries,63.56,3.34,802912,12307
8bc84e4f,"Young, Stevens and Marsh",Dublin,Large,Home Decor,65.33,2.62,587871,16204
ec515039,"Robertson, Davis and Wilson",Amsterdam,Medium,Home Decor,48.58,14.28,429195,8656
4ee28ba9,"Guzman, Abbott and Dalton",Amsterdam,Large,Groceries,48.48,3.03,956277,15245
0f8732d4,"White, Taylor and Fuentes",Dublin,Medium,Groceries,42.92,5.42,428006,2344
b9526b4c,Hernandez PLC,London,Large,Home Decor,77.37,7.05,981319,9932
88aaf297,Crawford-Ferrell,Rome,Medium,Home Decor,68.14,4.57,456277,13817
7ecf7f7c,"Grant, Burns and Stephens",Lisbon,Large,Electronics,64.06,9.24,602198,18037
25233350,"Bradley, Anderson and Obrien",Rome,Large,Electronics,38.8,1.15,504444,3226
b248f437,Reyes Ltd,Dublin,Medium,Fashion,51.52,10.6,334296,8189
00029ebd,Jordan Ltd,Madrid,Medium,Electronics,22.04,9.67,179823,8104
cf7cc1bd,"Scott, Nguyen and Porter",London,Large,Fashion,25.18,9.47,697111,19548
07cb0bbe,"Lopez, Mathews and Jones",Berlin,Small,Electronics,35.2,7.54,59924,15858
14b05fa7,"Hunt, Hayes and Page",Madrid,Medium,Home Decor,35.44,11.93,295379,3044
c14d3d42,Hall and Sons,Amsterdam,Medium,Home Decor,79.76,4.62,288761,6830
0b0ee16f,Sanchez-Stanley,Lisbon,Small,Groceries,78.77,3.81,101463,6847
827406bd,Boyd LLC,Lisbon,Small,Electronics,52.44,7.04,130473,4481
b3146d1e,"Watson, Morris and Harris",Lisbon,Large,Home Decor,26.2,2.02,799550,9211
13c39ac2,Zimmerman-Spencer,Lisbon,Small,Groceries,28.93,9.96,54959,13795
4a3d17d8,Reed PLC,Madrid,Small,Home Decor,74.28,9.04,117552,17078
fd19246e,Watts-Coffey,Lisbon,Medium,Groceries,70.64,11.93,186753,18698
2c0317be,"Acosta, Mitchell and Rivas",Paris,Small,Groceries,77.25,12.45,113185,4971
46a86b85,Martin-Le,Rome,Medium,Home Decor,44.04,9.85,489254,3970
aacfbe9c,Clayton-King,Rome,Large,Home Decor,24.83,7.43,901871,10501
6098ac1b,"Choi, Ramirez and Solis",Paris,Small,Health,22.36,6.38,75035,10793
535d91ae,Cummings and Sons,Amsterdam,Small,Home Decor,49.19,13.39,107407,7208
b3486227,"Ellis, Brown and Park",Berlin,Small,Electronics,21.52,14.95,81258,17031
3299a5cc,"Kim, Figueroa and Chambers",Amsterdam,Small,Health,58.6,8.0,108891,1537
f8fd7914,Miller-Stone,Dublin,Medium,Fashion,40.26,11.09,362603,4872
da483db4,"Richardson, Leonard and Montgomery",Paris,Large,Health,47.5,10.49,958362,18582
24407fe4,Brown-Hart,Berlin,Large,Health,33.98,2.01,885593,5639
726886cc,Gray Group,Lisbon,Large,Fashion,48.27,13.85,524014,8952
b13e2423,"Johns, West and Romero",Berlin,Small,Electronics,57.96,13.67,62752,15948
4215ecc5,Allen-Herrera,Berlin,Large,Fashion,69.07,2.49,760647,8227
4c174134,Scott Group,London,Small,Groceries,40.24,12.7,146721,14173
db0077f4,Daniel-Johnson,Rome,Small,Health,52.75,5.5,77948,2493
908c6d0b,Sanders Ltd,Berlin,Medium,Fashion,27.24,2.98,367661,6506
354b1c7d,"Morales, Thomas and James",Rome,Large,Electronics,46.32,13.96,521338,5370
fb899426,Heath-Smith,London,Large,Health,42.57,3.21,961178,16956
48bb92af,"Burns, Noble and Hubbard",London,Small,Fashion,30.76,2.25,135426,10297
ccfecb7d,Campbell-Clarke,Amsterdam,Large,Groceries,61.54,3.89,835453,9878
b53c906a,"Hernandez, Davis and Jones",Lisbon,Medium,Electronics,76.29,9.55,169725,6898
6443609a,"Brown, Allen and Williams",Lisbon,Large,Fashion,57.63,11.96,682376,14722
deeadf40,Fuller LLC,Dublin,Large,Electronics,31.51,14.81,550166,12858
a7d6b4c7,"Arnold, Adams and Smith",Paris,Medium,Electronics,36.59,3.71,228233,16545
04771f18,"Mitchell, Murray and Owen",Lisbon,Small,Electronics,60.21,1.6,134523,12933
e5e52687,Arnold Inc,Madrid,Small,Groceries,35.08,9.64,149406,15848
12b600de,Hoover PLC,Dublin,Small,Fashion,75.49,3.46,53809,16894
da645790,Henry-Brown,London,Small,Electronics,63.28,9.3,92725,14731
991e465b,Williams-Gonzalez,Paris,Large,Home Decor,33.8,2.54,619424,4213
c9b38e13,Stone-Bush,Paris,Large,Groceries,72.19,6.26,615691,3409
69f7e577,Newman-Palmer,Lisbon,Large,Groceries,23.26,7.1,613333,15909
1d3c5105,"Perez, Perez and Peterson",Berlin,Medium,Home Decor,28.18,11.08,481362,12750
28ae9193,Daniels Ltd,Madrid,Small,Home Decor,27.63,10.69,57818,10194
7f3d342e,Green Inc,Berlin,Small,Groceries,47.51,3.4,95033,8204
361be210,"Ruiz, Bradley and Hart",Madrid,Large,Electronics,67.37,9.93,820617,6568
81600621,Robinson Group,Paris,Small,Groceries,71.42,7.85,78369,16515
299f5aa2,Adams-Logan,Lisbon,Medium,Fashion,63.8,11.31,279318,9120
45967686,"Parker, Gibbs and Nichols",Rome,Medium,Health,33.34,13.98,228104,19799
01bd2e85,"Gonzalez, Hudson and Reynolds",Dublin,Medium,Fashion,22.4,7.59,414355,2101
7b6fc2c1,"Sharp, Stewart and King",Amsterdam,Large,Groceries,48.76,12.17,930594,4211
e3925070,"Nichols, Farrell and Bailey",Lisbon,Medium,Electronics,24.99,11.54,363185,8143
01f01f81,Harris-Shelton,Berlin,Medium,Home Decor,34.34,14.99,158352,16721
9d982981,Coffey Inc,Madrid,Small,Groceries,71.48,11.46,53199,15904
9a372ab6,Bush-Nunez,Lisbon,Small,Groceries,31.1,13.2,132157,16214
45d04ebf,Hoffman-Bell,Dublin,Large,Fashion,43.09,10.67,778356,2071
3fc9e120,Olson-Contreras,Madrid,Medium,Home Decor,61.88,9.58,451586,7787
227480c9,Blair and Sons,London,Large,Home Decor,64.15,1.77,995622,12927
e7529cb4,"Herrera, Schmitt and Pena",Dublin,Small,Groceries,41.94,9.67,97916,13007
8158c330,"Davis, Kaiser and Nguyen",Berlin,Large,Health,62.29,8.85,905577,7708
8756702f,Jones-Griffin,Berlin,Medium,Electronics,52.38,10.09,454150,7874
b6543ed4,"Mullins, Rodriguez and Hogan",Paris,Medium,Home Decor,73.88,8.05,371737,10081
03a78baf,Foster LLC,Dublin,Small,Home Decor,40.71,7.81,119033,5020
6565f0d4,"Serrano, Snyder and Harris",Lisbon,Large,Health,60.7,8.46,653231,15810
0dda8095,Martinez-Mason,Rome,Large,Fashion,31.3,13.38,545775,3627
480a59bd,"Whitaker, Wong and Mcbride",Amsterdam,Small,Home Decor,77.5,2.08,71596,10042
02ec3a1c,Beard-Chandler,London,Large,Electronics,49.78,13.25,772991,1743
0e77d943,Lopez-Kelly,Madrid,Medium,Health,75.9,7.63,370270,15544
1eb066a5,"Pacheco, Pearson and Jackson",Dublin,Medium,Electronics,23.78,13.21,271807,18026
19595e5a,Sims-Melton,Rome,Medium,Health,40.57,10.04,321079,16930
aafb3f5a,Smith Ltd,Lisbon,Medium,Home Decor,54.04,13.58,310692,6627
dc35f1e8,Baker Ltd,Madrid,Small,Groceries,42.31,5.03,56202,5860
92b2f8c5,Dunn and Sons,Rome,Medium,Groceries,77.37,9.66,234301,18541
fe0e9e6d,"Brown, Wong and Garcia",Madrid,Small,Electronics,70.36,10.7,137340,6029
48382764,Stevenson PLC,Berlin,Small,Fashion,22.47,5.43,66577,15447
4937ca25,Gonzalez-Young,Madrid,Medium,Electronics,32.31,10.9,498942,11385
720b579a,Austin Ltd,Rome,Small,Home Decor,46.91,14.66,119945,10881
15f838b6,"Walters, Cooper and King",London,Small,Groceries,75.86,11.76,110036,11492
ca4ec325,"Rodriguez, Hayden and Wagner",Berlin,Small,Health,78.54,5.64,142464,10684
f361f1b3,"Brewer, Chavez and Smith",Lisbon,Medium,Health,60.01,12.19,381791,12098
703ab040,Rodriguez and Sons,London,Large,Groceries,74.01,2.95,788862,4829
ae30d28c,Lewis Inc,Madrid,Small,Groceries,57.05,4.09,96844,4030
2bb08aae,Collins-Mcpherson,Rome,Small,Health,58.48,9.17,79116,10107
d77e5134,Hawkins-Jones,Paris,Small,Fashion,52.3,7.24,138022,3863
de688d2f,Wang-Barr,Amsterdam,Small,Groceries,39.07,9.47,57346,12831
ec39124d,Malone Ltd,Amsterdam,Small,Groceries,42.18,6.22,87309,12302
8bf4866d,"Klein, Padilla and Rodriguez",Rome,Medium,Groceries,72.46,2.23,382900,14618
e4555503,Watson-Cox,Lisbon,Medium,Electronics,68.34,14.59,372211,14572
e38a01aa,Brown-Zavala,Berlin,Large,Health,25.16,3.91,748834,18213
eac388b2,Richmond-Miller,Rome,Small,Health,65.37,2.24,103668,9956
c9e8b25c,Green Ltd,Amsterdam,Small,Health,47.73,8.95,67947,7529
a845a61d,Bolton LLC,Berlin,Medium,Home Decor,53.23,1.59,308332,10958
0e20a5d9,Spencer-Gilbert,Lisbon,Large,Groceries,33.47,12.08,580753,9607
f48dad71,Lopez Group,Madrid,Large,Groceries,27.45,10.32,650832,14669
7052bdda,Flores Inc,Berlin,Medium,Electronics,21.71,11.71,408501,3186
6feec833,"Morales, King and Davis",Rome,Large,Groceries,53.93,13.16,829251,16598
17039221,Church-Smith,London,Medium,Health,63.98,1.25,286073,6336
95ca921d,Sharp Inc,Dublin,Small,Home Decor,47.66,10.71,96843,6351
34facc31,"Anderson, Thompson and Sandoval",Dublin,Medium,Home Decor,45.17,13.77,336639,2596
45f3841d,"Reyes, Edwards and Harris",Madrid,Medium,Health,58.34,2.08,251615,7004
6b7185ba,Daugherty-Burch,London,Large,Electronics,52.62,13.21,933493,10865
2a31b1e6,"Howard, Barber and Adams",Madrid,Large,Home Decor,25.75,9.12,931655,5709
8b9d0584,Bond Inc,Dublin,Small,Health,36.89,11.9,104000,12151
d7d73071,Holmes-Ruiz,Berlin,Small,Electronics,29.27,4.1,74696,19306
1688e7d2,Davis and Sons,London,Medium,Groceries,74.96,2.63,218804,1569
3ce92711,Stein and Sons,Lisbon,Medium,Home Decor,61.46,2.95,381703,18141
928e2e34,Turner-Lamb,Rome,Small,Home Decor,21.73,12.4,79144,5217
32b7499a,Flores-Floyd,Berlin,Large,Electronics,38.45,3.94,541212,14920
7ec7d195,Ross-Perry,London,Small,Fashion,66.48,11.6,55572,7434
2b5f1aea,Daniels-Marshall,London,Small,Health,55.59,7.57,83162,2418
0b0e35f0,"Waters, Bell and Morris",London,Medium,Fashion,65.27,11.95,465513,7730
bddc545e,Williams LLC,Paris,Small,Home Decor,21.76,3.04,147805,10089
53dcab43,"Cardenas, Hayes and Fry",Rome,Medium,Electronics,71.31,11.93,471366,8924
a7845de8,"Dalton, Mcdonald and Black",London,Small,Health,65.79,8.4,143822,7276
94ca4c3c,Johnson-Ward,Madrid,Small,Health,20.26,11.15,78051,17521
9aea45e6,Nicholson-Wolf,Lisbon,Medium,Health,31.11,10.43,206269,6926
59aceb31,"Bennett, Lambert and Reed",Rome,Medium,Groceries,32.86,4.19,209164,11298
